Site,# Sessions,FPS,Total Duration,# Samples
20250702,4,1202.94,14.990 ± 0.006,18036
20250703,3,782.212,14.992 ± 0.004,11730
20250704,3,681.054,14.984 ± 0.026,10208
20250705,2,476.965,14.991 ± 0.003,7152
20250706,4,975.967,14.985 ± 0.016,14629
20250707,4,956.732,14.998 ± 0.004,14353
20250708,4,949.227,14.991 ± 0.011,14234
20250709,4,925.921,14.106 ± 1.003,13062
20250710,3,690.203,15.001 ± 0.003,10357
20250711,4,982.894,14.991 ± 0.012,14739
20250712,4,954.92,14.168 ± 1.424,13552
20250713,4,956.857,14.997 ± 0.014,14354
20250714,4,949.726,14.992 ± 0.007,14242
20250715,4,936.295,14.999 ± 0.005,14048
20250716,4,945.126,14.214 ± 1.360,13424
20250717,4,938.344,14.998 ± 0.011,14077
20250718,4,891.736,15.004 ± 0.004,13384
20250719,4,890.829,14.994 ± 0.013,13361
20250720,4,935.142,14.996 ± 0.018,14027
20250721,2,471.279,15.004 ± 0.004,7073
20250722,1,245.055,15.001 ± 0.000,3677
20250724,1,224.649,14.992 ± 0.000,3369
20250728,1,231.183,14.975 ± 0.000,3463
20250729,1,228.355,14.999 ± 0.000,3426
20250730,1,224.628,15.007 ± 0.000,3372
20250731,1,222.72,15.005 ± 0.000,3343
20250801,1,227.274,9.794 ± 0.000,2227
Site1-2,80,14.710,19098.233,282919
