Site,# Sessions,FPS,Total Duration,# Samples
20250702,1,426.074,14.594 ± 0.000,6219
20250703,1,324.88,14.996 ± 0.000,4873
20250710,1,331.052,14.273 ± 0.000,4726
20250713,1,325.518,14.979 ± 0.000,4877
20250717,1,307.9,13.673 ± 0.000,4211
20250721,1,482.726,14.971 ± 0.000,7228
20250728,1,334.325,14.979 ± 0.000,5009
20250801,1,346.145,14.309 ± 0.000,4954
Site3,8,14.597 ± 0.452,2878.62,42097
