Site,# Sessions,FPS,Total Duration,# Samples
20250702,1,1562.816,14.235 ± 0.000,22247
20250710,1,230.868,15.004 ± 0.000,3465
20250713,2,1724.43,12.478 ± 2.490,19047
20250717,1,1718.795,14.851 ± 0.000,25527
20250721,1,1583.457,13.224 ± 0.000,20940
20250728,1,1805.174,11.656 ± 0.000,21043
20250801,1,1609.437,10.450 ± 0.000,16819
Site2,8,13.128 ± 1.580,10234.975,129088
